iter	Passed	Remaining
407	2529	3670
408	2531	3658
409	2544	3662
410	2547	3650
411	2587	3693
412	2590	3682
413	2592	3669
414	2596	3659
415	2600	3651
416	2602	3639
417	2607	3630
418	2609	3618
419	2611	3606
420	2620	3604
421	2623	3592
422	2625	3580
423	2627	3569
424	2629	3557
425	2631	3545
426	2636	3538
427	2638	3526
428	2641	3515
429	2643	3503
430	2645	3492
431	2650	3484
432	2652	3473
433	2655	3462
434	2658	3452
435	2660	3441
436	2662	3430
437	2667	3423
438	2690	3438
439	2692	3426
440	2694	3415
441	2699	3407
442	2701	3396
443	2703	3385
444	2705	3374
445	2707	3363
446	2713	3356
447	2715	3345
448	2717	3335
449	2719	3324
450	2721	3313
451	2723	3302
452	2779	3356
453	2781	3345
454	2784	3334
455	2786	3323
456	2788	3312
457	2793	3305
458	2795	3294
459	2797	3284
460	2799	3273
461	2801	3262
462	2803	3252
463	2809	3245
464	2811	3234
465	2813	3224
466	2815	3213
467	2817	3203
468	2819	3192
469	2848	3212
470	2850	3201
471	2853	3191
472	2859	3186
473	2862	3176
474	2864	3165
475	2866	3155
476	2868	3144
477	2871	3135
478	2873	3125
479	2875	3115
480	2880	3107
481	2882	3097
482	2945	3153
483	2948	3143
484	2953	3136
485	2955	3125
486	2961	3119
487	2963	3109
488	2965	3099
489	2970	3091
490	2972	3081
491	2974	3071
492	2977	3061
493	2979	3051
494	2981	3041
495	2986	3034
496	3040	3077
497	3042	3067
498	3044	3056
499	3046	3046
500	3051	3039
501	3054	3029
502	3057	3021
503	3059	3011
504	3061	3001
505	3067	2994
506	3069	2984
507	3071	2974
508	3073	2965
509	3075	2955
510	3088	2955
511	3090	2945
512	3092	2935
513	3097	2928
514	3099	2918
515	3104	2911
516	3106	2902
517	3108	2892
518	3117	2889
519	3120	2880
520	3122	2870
521	3124	2860
522	3129	2854
523	3132	2845
524	3134	2836
525	3137	2826
526	3139	2817
527	3180	2842
528	3182	2833
529	3184	2824
530	3186	2814
531	3188	2805
532	3193	2798
533	3195	2788
534	3197	2779
535	3199	2770
536	3202	2760
537	3204	2751
538	3245	2776
539	3248	2766
540	3250	2757
541	3252	2748
542	3267	2750
543	3270	2741
544	3272	2732
545	3274	2722
546	3276	2713
547	3283	2708
548	3288	2701
549	3290	2692
550	3298	2687
551	3300	2678
552	3308	2674
553	3310	2664
554	3312	2655
555	3314	2646
556	3322	2642
557	3327	2635
558	3329	2626
559	3331	2617
560	3342	2615
561	3344	2606
562	3346	2597
563	3351	2590
564	3354	2582
565	3359	2575
566	3361	2567
567	3367	2561
568	3369	2552
569	3371	2543
570	3400	2554
571	3402	2545
572	3405	2537
573	3407	2528
574	3409	2519
575	3411	2511
576	3416	2504
577	3418	2495
578	3438	2500
579	3441	2491
580	3443	2483
581	3445	2474
582	3449	2467
583	3452	2459
584	3457	2453
585	3460	2444
586	3462	2436
587	3464	2427
588	3467	2419
589	3469	2410
590	3471	2402
591	3489	2404
592	3491	2396
593	3493	2387
594	3495	2379
595	3501	2373
596	3527	2380
597	3529	2372
598	3534	2366
599	3536	2357
600	3539	2349
601	3541	2341
602	3543	2332
603	3545	2324
604	3558	2323
605	3565	2318
606	3567	2309
607	3569	2301
608	3572	2293
609	3574	2285
610	3605	2295
611	3607	2287
612	3619	2285
613	3622	2277
614	3624	2268
615	3626	2260
616	3628	2252
617	3633	2245
618	3635	2237
619	3637	2229
620	3644	2224
621	3646	2216
622	3650	2208
623	3652	2200
624	3654	2192
625	3684	2201
626	3686	2193
627	3691	2186
628	3694	2179
629	3696	2171
630	3699	2163
631	3701	2155
632	3706	2148
633	3708	2141
634	3711	2133
635	3714	2125
636	3716	2117
637	3721	2111
638	3723	2103
639	3725	2095
640	3729	2088
641	3731	2080
642	3748	2081
643	3753	2074
644	3755	2067
645	3758	2059
646	3760	2051
647	3762	2043
648	3764	2035
649	3787	2039
650	3789	2031
651	3791	2023
652	3793	2015
653	3795	2008
654	3801	2002
655	3823	2005
656	3825	1997
657	3827	1989
658	3833	1983
659	3835	1976
660	3838	1968
661	3840	1960
662	3842	1953
663	3844	1945
664	3849	1939
665	3852	1931
666	3855	1925
667	3858	1917
668	3860	1909
669	3876	1909
670	3881	1903
671	3883	1895
672	3885	1887
673	3887	1880
674	3890	1873
675	3902	1870
676	3904	1863
677	3907	1855
678	3911	1849
679	3914	1841
680	3916	1834
681	3918	1827
682	3933	1825
683	3935	1818
684	3937	1810
685	3942	1804
686	3945	1797
687	3947	1790
688	3950	1783
689	3953	1776
690	3957	1769
691	3960	1762
692	3962	1755
693	3964	1748
694	3966	1740
695	3968	1733
696	3973	1727
697	3976	1720
698	3978	1713
699	3980	1705
700	3982	1698
701	3985	1691
702	3987	1684
703	3989	1677
704	3991	1670
705	3994	1663
706	3996	1656
707	4001	1650
708	4003	1643
709	4005	1636
710	4013	1631
711	4016	1624
712	4018	1617
713	4020	1610
714	4023	1603
715	4025	1596
716	4029	1590
717	4046	1589
718	4048	1582
719	4054	1576
720	4056	1569
721	4058	1562
722	4061	1556
723	4063	1549
724	4065	1542
725	4068	1535
726	4070	1528
727	4072	1521
728	4084	1518
729	4086	1511
730	4100	1509
731	4103	1502
732	4105	1495
733	4107	1488
734	4110	1481
735	4112	1475
736	4114	1468
737	4117	1461
738	4119	1454
739	4121	1448
740	4133	1444
741	4135	1438
742	4137	1431
743	4147	1427
744	4150	1420
745	4153	1414
746	4159	1408
747	4161	1401
748	4163	1395
749	4165	1388
750	4167	1381
751	4172	1376
752	4190	1374
753	4192	1367
754	4194	1361
755	4196	1354
756	4198	1347
757	4200	1341
758	4207	1336
759	4212	1330
760	4215	1323
761	4227	1320
762	4229	1313
763	4231	1307
764	4234	1300
765	4236	1294
766	4238	1287
767	4240	1280
768	4242	1274
769	4244	1267
770	4246	1261
771	4249	1255
772	4251	1248
773	4253	1241
774	4271	1240
775	4274	1233
776	4276	1227
777	4278	1220
778	4283	1215
779	4285	1208
780	4287	1202
781	4289	1195
782	4291	1189
783	4294	1183
784	4299	1177
785	4301	1171
786	4303	1164
787	4305	1158
788	4307	1151
789	4309	1145
790	4337	1145
791	4339	1139
792	4341	1133
793	4347	1127
794	4350	1121
795	4352	1115
796	4354	1109
797	4359	1103
798	4362	1097
799	4363	1090
800	4366	1084
801	4368	1078
802	4370	1072
803	4376	1066
804	4378	1060
805	4381	1054
806	4383	1048
807	4385	1042
808	4387	1035
809	4389	1029
810	4392	1023
811	4394	1017
812	4396	1011
813	4398	1005
814	4403	999
815	4405	993
816	4411	988
817	4413	982
818	4418	976
819	4420	970
820	4424	964
821	4427	958
822	4430	952
823	4436	947
824	4438	941
825	4441	935
826	4443	929
827	4445	923
828	4449	917
829	4451	911
830	4452	905
831	4454	899
832	4457	893
833	4459	887
834	4464	882
835	4467	876
836	4469	870
837	4472	864
838	4474	858
839	4478	853
840	4481	847
841	4484	841
842	4486	835
843	4488	829
844	4491	823
845	4496	818
846	4499	812
847	4500	806
848	4502	800
849	4504	794
850	4506	789
851	4511	783
852	4513	777
853	4515	771
854	4517	766
855	4519	760
856	4521	754
857	4525	749
858	4528	743
859	4530	737
860	4532	731
861	4543	727
862	4547	721
863	4549	716
864	4550	710
865	4552	704
866	4554	698
867	4556	692
868	4558	687
869	4559	681
870	4561	675
871	4563	669
872	4568	664
873	4570	658
874	4572	653
875	4578	648
876	4580	642
